event,week,queries,main_topic
Сериал «Кровавая барыня»,23.04.2018,12835,C
Сериал «Кровавая барыня»,30.04.2018,9248,C
Сериал «Кровавая барыня»,07.05.2018,6892,C
Сериал «Кровавая барыня»,14.05.2018,5947,C
Сериал «Кровавая барыня»,21.05.2018,6032,C
Сериал «Кровавая барыня»,28.05.2018,6311,C
Сериал «Кровавая барыня»,04.06.2018,6232,C
Сериал «Кровавая барыня»,11.06.2018,6968,C
Сериал «Кровавая барыня»,18.06.2018,6210,C
Сериал «Кровавая барыня»,25.06.2018,5790,C
Допинг-скандал Крушельницкий,01.01.2018,0,SC
Допинг-скандал Крушельницкий,08.01.2018,0,SC
Допинг-скандал Крушельницкий,15.01.2018,0,SC
Допинг-скандал Крушельницкий,22.01.2018,0,SC
Допинг-скандал Крушельницкий,29.01.2018,0,SC
Допинг-скандал Крушельницкий,05.02.2018,0,SC
Допинг-скандал Крушельницкий,12.02.2018,4922,SC
Допинг-скандал Крушельницкий,19.02.2018,35566,SC
Допинг-скандал Крушельницкий,26.02.2018,8066,SC
Допинг-скандал Крушельницкий,05.03.2018,2075,SC
Допинг-скандал Крушельницкий,12.03.2018,1677,SC
Допинг-скандал Крушельницкий,19.03.2018,817,SC
Допинг-скандал Крушельницкий,26.03.2018,1391,SC
Допинг-скандал Крушельницкий,02.04.2018,1159,SC
Допинг-скандал Крушельницкий,09.04.2018,341,SC
Допинг-скандал Крушельницкий,16.04.2018,203,SC
Допинг-скандал Крушельницкий,23.04.2018,265,SC
Допинг-скандал Крушельницкий,30.04.2018,158,SC
Допинг-скандал Крушельницкий,07.05.2018,167,SC
Допинг-скандал Крушельницкий,14.05.2018,110,SC
Допинг-скандал Крушельницкий,21.05.2018,104,SC
Допинг-скандал Крушельницкий,28.05.2018,78,SC
Допинг-скандал Крушельницкий,04.06.2018,65,SC
Допинг-скандал Крушельницкий,11.06.2018,53,SC
Допинг-скандал Крушельницкий,18.06.2018,90,SC
Допинг-скандал Крушельницкий,25.06.2018,68,SC
Смерть Стивена Хоккинга,01.01.2018,22719,D
Смерть Стивена Хоккинга,08.01.2018,36442,D
Смерть Стивена Хоккинга,15.01.2018,23522,D
Смерть Стивена Хоккинга,22.01.2018,26783,D
Смерть Стивена Хоккинга,29.01.2018,24980,D
Смерть Стивена Хоккинга,05.02.2018,25104,D
Смерть Стивена Хоккинга,12.02.2018,21097,D
Смерть Стивена Хоккинга,19.02.2018,23708,D
Смерть Стивена Хоккинга,26.02.2018,24275,D
Смерть Стивена Хоккинга,05.03.2018,26047,D
Смерть Стивена Хоккинга,12.03.2018,1258361,D
Смерть Стивена Хоккинга,19.03.2018,197795,D
Смерть Стивена Хоккинга,26.03.2018,108694,D
Смерть Стивена Хоккинга,02.04.2018,64416,D
Смерть Стивена Хоккинга,09.04.2018,48395,D
Смерть Стивена Хоккинга,16.04.2018,45963,D
Смерть Стивена Хоккинга,23.04.2018,42960,D
Смерть Стивена Хоккинга,30.04.2018,41570,D
Смерть Стивена Хоккинга,07.05.2018,43385,D
Смерть Стивена Хоккинга,14.05.2018,36892,D
Смерть Стивена Хоккинга,21.05.2018,37628,D
Смерть Стивена Хоккинга,28.05.2018,34462,D
Смерть Стивена Хоккинга,04.06.2018,29368,D
Смерть Стивена Хоккинга,11.06.2018,38913,D
Смерть Стивена Хоккинга,18.06.2018,24134,D
Смерть Стивена Хоккинга,25.06.2018,21244,D
Отравление Скрипаля,01.01.2018,0,P
Отравление Скрипаля,08.01.2018,0,P
Отравление Скрипаля,15.01.2018,0,P
Отравление Скрипаля,22.01.2018,0,P
Отравление Скрипаля,29.01.2018,0,P
Отравление Скрипаля,05.02.2018,0,P
Отравление Скрипаля,12.02.2018,0,P
Отравление Скрипаля,19.02.2018,0,P
Отравление Скрипаля,26.02.2018,0,P
Отравление Скрипаля,05.03.2018,7791,P
Отравление Скрипаля,12.03.2018,56956,P
Отравление Скрипаля,19.03.2018,29748,P
Отравление Скрипаля,26.03.2018,24902,P
Отравление Скрипаля,02.04.2018,15079,P
Отравление Скрипаля,09.04.2018,7655,P
Отравление Скрипаля,16.04.2018,3261,P
Отравление Скрипаля,23.04.2018,1722,P
Отравление Скрипаля,30.04.2018,1022,P
Отравление Скрипаля,07.05.2018,711,P
Отравление Скрипаля,14.05.2018,889,P
Отравление Скрипаля,21.05.2018,1397,P
Отравление Скрипаля,28.05.2018,1022,P
Отравление Скрипаля,04.06.2018,497,P
Отравление Скрипаля,11.06.2018,364,P
Отравление Скрипаля,18.06.2018,373,P
Отравление Скрипаля,25.06.2018,417,P
Зимняя Вишня,01.01.2018,29796,DIS
Зимняя Вишня,08.01.2018,16469,DIS
Зимняя Вишня,15.01.2018,13691,DIS
Зимняя Вишня,22.01.2018,13155,DIS
Зимняя Вишня,29.01.2018,27690,DIS
Зимняя Вишня,05.02.2018,32452,DIS
Зимняя Вишня,12.02.2018,17208,DIS
Зимняя Вишня,19.02.2018,16090,DIS
Зимняя Вишня,26.02.2018,14467,DIS
Зимняя Вишня,05.03.2018,16484,DIS
Зимняя Вишня,12.03.2018,12622,DIS
Зимняя Вишня,19.03.2018,205409,DIS
Зимняя Вишня,26.03.2018,3753565,DIS
Зимняя Вишня,02.04.2018,323692,DIS
Зимняя Вишня,09.04.2018,134685,DIS
Зимняя Вишня,16.04.2018,128138,DIS
Зимняя Вишня,23.04.2018,91881,DIS
Зимняя Вишня,30.04.2018,66265,DIS
Зимняя Вишня,07.05.2018,42841,DIS
Зимняя Вишня,14.05.2018,55494,DIS
Зимняя Вишня,21.05.2018,63726,DIS
Зимняя Вишня,28.05.2018,38255,DIS
Зимняя Вишня,04.06.2018,32327,DIS
Зимняя Вишня,11.06.2018,26858,DIS
Зимняя Вишня,18.06.2018,24612,DIS
Зимняя Вишня,25.06.2018,24708,DIS
Выборы президента РФ 2018,01.01.2018,34344,P
Выборы президента РФ 2018,08.01.2018,73032,P
Выборы президента РФ 2018,15.01.2018,82415,P
Выборы президента РФ 2018,22.01.2018,74309,P
Выборы президента РФ 2018,29.01.2018,87187,P
Выборы президента РФ 2018,05.02.2018,103096,P
Выборы президента РФ 2018,12.02.2018,115763,P
Выборы президента РФ 2018,19.02.2018,128060,P
Выборы президента РФ 2018,26.02.2018,171963,P
Выборы президента РФ 2018,05.03.2018,168375,P
Выборы президента РФ 2018,12.03.2018,1114587,P
Выборы президента РФ 2018,19.03.2018,1074785,P
Выборы президента РФ 2018,26.03.2018,43641,P
Выборы президента РФ 2018,02.04.2018,18665,P
Выборы президента РФ 2018,09.04.2018,15257,P
Выборы президента РФ 2018,16.04.2018,9287,P
Выборы президента РФ 2018,23.04.2018,8460,P
Выборы президента РФ 2018,30.04.2018,6493,P
Выборы президента РФ 2018,07.05.2018,8577,P
Выборы президента РФ 2018,14.05.2018,7624,P
Выборы президента РФ 2018,21.05.2018,6869,P
Выборы президента РФ 2018,28.05.2018,6190,P
Выборы президента РФ 2018,04.06.2018,5727,P
Выборы президента РФ 2018,11.06.2018,4747,P
Выборы президента РФ 2018,18.06.2018,5921,P
Выборы президента РФ 2018,25.06.2018,4753,P
Выборы президента РФ 2018,02.07.2018,4250,P
Выборы президента РФ 2018,09.07.2018,3427,P
Выборы президента РФ 2018,16.07.2018,3324,P
Выборы президента РФ 2018,23.07.2018,3447,P
Выборы президента РФ 2018,30.07.2018,4080,P
Выборы президента РФ 2018,06.08.2018,4516,P
Выборы президента РФ 2018,13.08.2018,3845,P
Выборы президента РФ 2018,20.08.2018,4717,P
Выборы президента РФ 2018,27.08.2018,6296,P
Выборы президента РФ 2018,03.09.2018,10279,P
Выборы президента РФ 2018,10.09.2018,8719,P
Выборы президента РФ 2018,17.09.2018,6266,P
Выборы президента РФ 2018,24.09.2018,5736,P
Выборы президента РФ 2018,01.10.2018,5282,P
Выборы президента РФ 2018,08.10.2018,5138,P
Выборы президента РФ 2018,15.10.2018,5048,P
Выборы президента РФ 2018,22.10.2018,6886,P
Выборы президента РФ 2018,29.10.2018,8401,P
Недопуск Навального на выборы президента,01.01.2018,4322,P
Недопуск Навального на выборы президента,08.01.2018,5873,P
Недопуск Навального на выборы президента,15.01.2018,4580,P
Недопуск Навального на выборы президента,22.01.2018,4197,P
Недопуск Навального на выборы президента,29.01.2018,3340,P
Недопуск Навального на выборы президента,05.02.2018,2659,P
Недопуск Навального на выборы президента,12.02.2018,2488,P
Недопуск Навального на выборы президента,19.02.2018,2509,P
Недопуск Навального на выборы президента,26.02.2018,3245,P
Недопуск Навального на выборы президента,05.03.2018,3823,P
Недопуск Навального на выборы президента,12.03.2018,13879,P
Недопуск Навального на выборы президента,19.03.2018,16538,P
Недопуск Навального на выборы президента,26.03.2018,1958,P
Недопуск Навального на выборы президента,02.04.2018,950,P
Недопуск Навального на выборы президента,09.04.2018,642,P
Недопуск Навального на выборы президента,16.04.2018,425,P
Недопуск Навального на выборы президента,23.04.2018,367,P
Недопуск Навального на выборы президента,30.04.2018,604,P
Недопуск Навального на выборы президента,07.05.2018,464,P
Недопуск Навального на выборы президента,14.05.2018,298,P
Недопуск Навального на выборы президента,21.05.2018,257,P
Недопуск Навального на выборы президента,28.05.2018,269,P
Недопуск Навального на выборы президента,04.06.2018,278,P
Недопуск Навального на выборы президента,11.06.2018,279,P
Недопуск Навального на выборы президента,18.06.2018,269,P
Недопуск Навального на выборы президента,25.06.2018,274,P
Недопуск Навального на выборы президента,02.07.2018,273,P
Недопуск Навального на выборы президента,09.07.2018,164,P
Недопуск Навального на выборы президента,16.07.2018,220,P
Недопуск Навального на выборы президента,23.07.2018,227,P
Недопуск Навального на выборы президента,30.07.2018,230,P
Недопуск Навального на выборы президента,06.08.2018,276,P
Недопуск Навального на выборы президента,13.08.2018,262,P
Недопуск Навального на выборы президента,20.08.2018,268,P
Недопуск Навального на выборы президента,27.08.2018,479,P
Недопуск Навального на выборы президента,03.09.2018,1100,P
Недопуск Навального на выборы президента,10.09.2018,1098,P
Недопуск Навального на выборы президента,17.09.2018,557,P
Недопуск Навального на выборы президента,24.09.2018,347,P
Недопуск Навального на выборы президента,01.10.2018,194,P
Недопуск Навального на выборы президента,08.10.2018,168,P
Недопуск Навального на выборы президента,15.10.2018,238,P
Недопуск Навального на выборы президента,22.10.2018,242,P
Недопуск Навального на выборы президента,29.10.2018,255,P
Выход FarCry 5,01.01.2018,15187,C
Выход FarCry 5,08.01.2018,13158,C
Выход FarCry 5,15.01.2018,14961,C
Выход FarCry 5,22.01.2018,19138,C
Выход FarCry 5,29.01.2018,19913,C
Выход FarCry 5,05.02.2018,22292,C
Выход FarCry 5,12.02.2018,17966,C
Выход FarCry 5,19.02.2018,21297,C
Выход FarCry 5,26.02.2018,34530,C
Выход FarCry 5,05.03.2018,36942,C
Выход FarCry 5,12.03.2018,32943,C
Выход FarCry 5,19.03.2018,122039,C
Выход FarCry 5,26.03.2018,564183,C
Выход FarCry 5,02.04.2018,290612,C
Выход FarCry 5,09.04.2018,192155,C
Выход FarCry 5,16.04.2018,337281,C
Выход FarCry 5,23.04.2018,179707,C
Выход FarCry 5,30.04.2018,141305,C
Выход FarCry 5,07.05.2018,92749,C
Выход FarCry 5,14.05.2018,72444,C
Выход FarCry 5,21.05.2018,66800,C
Выход FarCry 5,28.05.2018,65314,C
Выход FarCry 5,04.06.2018,72392,C
Выход FarCry 5,11.06.2018,62719,C
Выход FarCry 5,18.06.2018,52407,C
Выход FarCry 5,25.06.2018,46130,C
Выход FarCry 5,02.07.2018,45572,C
Выход FarCry 5,09.07.2018,46917,C
Выход FarCry 5,16.07.2018,62366,C
Выход FarCry 5,23.07.2018,56112,C
Выход FarCry 5,30.07.2018,53438,C
Выход FarCry 5,06.08.2018,58018,C
Выход FarCry 5,13.08.2018,51294,C
